created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-03T17:03:03Z,1621554871638835200,1621554871638835200,https://t.co/panateWww6,https://t.co/panateWww6,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3185,46724,FALSE,NA,FALSE,NA,zxx,FALSE,NA,0,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T15:28:33Z,1621168705211097e3,1621168705211097088,"NUEVO PODCAST
Carles Porta, periodista y creador de uno de los programas más potentes ahora mismo: Crims, me visita para un podcast BRUTAL, con algunos casos de crónica negra tremendos. ¡No os lo perdáis!
https://t.co/bUnbrGlQSB","NUEVO PODCAST
Carles Porta, periodista y creador de uno de los programas más potentes ahora mismo: Crims, me visita para un podcast BRUTAL, con algunos casos de crónica negra tremendos. ¡No os lo perdáis!
https://t.co/bUnbrGlQSB",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,76,1420,FALSE,NA,FALSE,NA,es,FALSE,NA,228,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T15:40:06Z,1620446836548055e3,1620446836548055043,@EvilAFM Das miedo de donde vas a llegar 😂,@EvilAFM Das miedo de donde vas a llegar 😂,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1620396599473229800,1620396599473229827,61879392,61879392,EvilAFM,,,,NA,FALSE,6,1630,FALSE,NA,FALSE,NA,es,NA,NA,42,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T15:39:03Z,1620446572357251e3,1620446572357251072,"NUEVO PODCAST
Como cada semana, tertulia con los mejores colaborares charlando sobre las noticias más interesantes de los últimos días. Por supuesto, hablaremos de los ESLAND y mucho más!
https://t.co/G6QgVSYncb","NUEVO PODCAST
Como cada semana, tertulia con los mejores colaborares charlando sobre las noticias más interesantes de los últimos días. Por supuesto, hablaremos de los ESLAND y mucho más!
https://t.co/G6QgVSYncb",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,27,1027,FALSE,NA,FALSE,NA,es,FALSE,NA,211,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-30T04:51:59Z,1619921344384356400,1619921344384356353,"@franco_esca @TheGrefg Gracias amigo, un abrazo enorme!","@franco_esca @TheGrefg Gracias amigo, un abrazo enorme!",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619815878392156200,1619815878392156160,219858307,219858307,franco_esca,,,,NA,FALSE,41,7113,FALSE,NA,FALSE,NA,es,NA,NA,55,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-29T22:23:44Z,1619823636441088e3,1619823636441088000,@Srcheeto Este año os tengo que ir a ver sí o sí ❤️❤️,@Srcheeto Este año os tengo que ir a ver sí o sí ❤️❤️,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1619815639140700200,1619815639140700160,233180001,233180001,Srcheeto,,,,NA,FALSE,17,4358,FALSE,NA,FALSE,NA,es,NA,NA,53,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-29T22:19:42Z,1619822623621542e3,1619822623621541889,"Va por ti Tamayo y follacamiones
#SegundoEsland https://t.co/SfGf0ePqa4","Va por ti Tamayo y follacamiones
#SegundoEsland https://t.co/SfGf0ePqa4",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1680,53398,FALSE,NA,FALSE,NA,es,FALSE,NA,47,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-29T20:51:13Z,1619800352626462700,1619800352626462720,¿No ha ganado follacamiones? Ya pueden cerrar los Esland AHORA MISMO.,¿No ha ganado follacamiones? Ya pueden cerrar los Esland AHORA MISMO.,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2377,50854,FALSE,NA,FALSE,NA,es,NA,NA,69,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-29T18:51:54Z,1619770326845644800,1619770326845644802,Tamayo te va a unos premios internacionales igual que a comprar chicles #real https://t.co/RLaEzxsZTn,Tamayo te va a unos premios internacionales igual que a comprar chicles #real https://t.co/RLaEzxsZTn,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1749,53580,FALSE,NA,FALSE,NA,es,FALSE,NA,77,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-27T21:10:24Z,1619080406388838400,1619080406388838401,"Deciros simplemente que Papa Giorgio aka DIOS ha superado la operación, todo ha ido genial y mañana estará en casa preparado para la guerra.
Gracias por vuestros mensajes de ánimo ❤️ sois muy bonicos ❤️ https://t.co/xNa6N0MQi1","Deciros simplemente que Papa Giorgio aka DIOS ha superado la operación, todo ha ido genial y mañana estará en casa preparado para la guerra.
Gracias por vuestros mensajes de ánimo ❤️ sois muy bonicos ❤️ https://t.co/xNa6N0MQi1",FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2611,105130,FALSE,NA,FALSE,NA,es,FALSE,NA,202,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
